Date,Deliverable,Team
October 19,Proposal of grad show themes,Branding
November 2,Presentation of grad show theme,Branding
November 2,Display concept mocked up,Experiential
November 16,Identity concepts,Branding
November 16,Social media accounts and strategy,Events
November 30,Branding announcement,Branding
November 30,Off-site presentation,Interactive
November 30,On-site presentation,Interactive
November 30,Invitation mailing list,Execs
January 4,Branding guidlines,Branding
January 4,Post-show gift concept,Events
January 18,Class photographs,Operations
January 18,Post-show gift demo,Events
January 18,Invitation concept,Branding
February 1,Soft-launch of website,Interactive
March 7,Student work uploaded on site,Interactive
April 18â€“19,Gradshow,Everyone
